StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Duration (in minutes),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q60,Condition,Q43,Pay,S&P,CPI,F1,F2,F3,F4,S&P_Acc,CPI_Acc,F1_Acc,F2_Acc,F3_Acc,F4_Acc,S&P_AI_Acc,CPI_AI_Acc,F1_AI_Acc,F2_AI_Acc,F3_AI_Acc,F4_AI_Acc,Avg_Acc,Avg_Acc2,Time,Pay_Time,Pay,Pay,S&P_2,S&P_3,CPI_2,CPI_3,F1_2,F1_4,F1_3,F1_5,F2_2,F2_4,F2_3,F2_5,F3_2,F3_4,F3_3,F3_5,F4_2,F4_4,F4_3,F4_5,S&P_AI_2,S&P_AI_3,CPI_AI_2,CPI_AI_3,F1_AI_2,F1_AI_4,F1_AI_3,F1_AI_5,F2_AI_2,F2_AI_4,F2_AI_3,F2_AI_5,F3_AI_2,F3_AI_4,F3_AI_3,F3_AI_5,F4_AI_2,F4_AI_4,F4_AI_3,F4_AI_5,Trust,Rely,Gender,Age,Education,Code,Random ID,Create New Field or Choose From Dropdown...
12/9/22 20:29,12/9/22 20:36,IP Address,*******,100,454,7.566666667,TRUE,12/9/22 20:36,R_pxSzj54m1JXEy7T,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",Sequential,5b7332e8fd718d00013d0655,0.5,3990.56,6.00,1.00,1.00,1.00,,0.692885209,0.5,0.5,0.6,0.8,0.45,0.694706006,0.744,0.56,0.68,0.9,0.78,0.658465935,0.433577387,0.756666667,1.968441337,2.601464322,0.5,3950,70,6,50,Pittsburgh Steelers,0,50,0.5,Cincinatti Bengals,1,60,0.6,Dallas Cowboys,1,80,0.8,Tennessee Titans,0,55,0.45,3960.38,70,6.2,72,Pittsburgh Steelers,0,56,0.44,Cincinatti Bengals,1,68,0.68,Dallas Cowboys,1,90,0.9,Tennessee Titans,0,78,0.22,Agree,Agree,Female,27,College,I have entered this number in the MTurk interface,4369163,
12/9/22 20:26,12/9/22 20:32,IP Address,*******,100,358,5.966666667,TRUE,12/9/22 20:32,R_09wKvN9d4WMxSqB,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",Sequential,5ea6481107183a65a9582902,0.5,3990.56,6.00,1.00,1.00,1.00,,0.964776873,0.583333333,0.6,0.6,0.7,0.4,0.964776873,0.595,0.6,0.6,0.7,0.6,0.65899059,0.434268598,0.596666667,1.55468158,2.605611586,0.5,3850,100,7,50,Baltimore Ravens,1,60,0.6,Cincinatti Bengals,1,60,0.6,Dallas Cowboys,1,70,0.7,Tennessee Titans,0,60,0.4,3850,100,7,51,Baltimore Ravens,1,60,0.6,Cincinatti Bengals,1,60,0.6,Dallas Cowboys,1,70,0.7,Tennessee Titans,0,60,0.4,Agree,Disagree,Female,34,College,I have entered this number in the MTurk interface,4255833,
12/9/22 20:26,12/9/22 20:33,IP Address,*******,100,423,7.05,TRUE,12/9/22 20:33,R_3oMjf12wYzhrzTi,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",Sequential,60d1429992c4cb380dd59b15,0.5,3990.56,6.00,1.00,1.00,1.00,,0.701655908,0.4125,0.85,0.76,0.9,0.1,0.761797843,0.501666667,0.83,0.76,0.8,0.83,0.683968368,0.467812729,0.705,1.978847842,2.806876372,0.5,3500,80,5.5,45,Pittsburgh Steelers,0,85,0.15,Cleveland Browns,0,76,0.24,Dallas Cowboys,1,90,0.9,Tennessee Titans,0,90,0.1,3800,80,7,43,Baltimore Ravens,1,83,0.83,Cleveland Browns,0,76,0.24,Dallas Cowboys,1,80,0.8,Tennessee Titans,0,83,0.17,Agree,Agree,Female,31,High school,I have entered this number in the MTurk interface,7491034,
12/9/22 20:08,12/9/22 20:14,IP Address,*******,100,327,5.45,TRUE,12/9/22 20:14,R_5ywYUBheIIysvy9,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",Sequential,620299b5ef1cb18a1337c4e9,0.5,3990.56,6.00,1.00,1.00,1.00,,0.891754541,0.55,0.55,0.8,0.9,0.4,0.792670703,0.56,0.55,0.8,0.9,0.6,0.691202104,0.477760348,0.545,1.562276338,2.866562088,0.5,3954,90,5.5,60,Pittsburgh Steelers,0,55,0.45,Cincinatti Bengals,1,80,0.8,Dallas Cowboys,1,90,0.9,Tennessee Titans,0,60,0.4,3954,80,5.6,60,Pittsburgh Steelers,0,55,0.45,Cincinatti Bengals,1,80,0.8,Dallas Cowboys,1,90,0.9,Tennessee Titans,0,60,0.4,Agree,Agree,Male,40,College,,4473378,
12/9/22 20:37,12/9/22 20:41,IP Address,*******,100,241,4.016666667,TRUE,12/9/22 20:41,R_1d0w0UKxFzPMLDT,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",Sequential,58ae59babb9e0f0001acb414,1,3990.56,6.00,1.00,1.00,1.00,,0.601268995,0.192,0.88,0.88,0.74,0.41,0.786868159,0.971,0.56,0.68,0.94,0.78,0.701761429,0.492469104,0.401666667,1.18685054,2.954814623,1,3870,62,6.4,18,Pittsburgh Steelers,0,88,0.12,Cleveland Browns,0,88,0.12,Houston Texans,0,74,0.26,Jacksonville Jaguars,1,59,0.59,3974.74,79,6.3,98,Pittsburgh Steelers,0,56,0.44,Cincinatti Bengals,1,68,0.68,Dallas Cowboys,1,94,0.94,Tennessee Titans,0,78,0.22,Agree,Strongly agree,Male,20,College,I have entered this number in the MTurk interface,7755809,
12/9/22 19:57,12/9/22 20:04,IP Address,*******,100,363,6.05,TRUE,12/9/22 20:04,R_3OdiGC285FfCibD,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",Sequential,594fb08ea186be000114d023,1,3990.56,6.00,1.00,1.00,1.00,,0.770527194,0.473666667,0.91,0.6,0.8,0.36,0.618213208,0.696,0.92,0.83,0.83,0.82,0.719033922,0.517009782,0.605,1.876745507,3.10205869,1,4099.78,75,5.8,49,Pittsburgh Steelers,0,91,0.09,Cleveland Browns,0,60,0.4,Dallas Cowboys,1,80,0.8,Jacksonville Jaguars,1,64,0.64,4044.29,61,5.8,72,Pittsburgh Steelers,0,92,0.08,Cincinatti Bengals,1,83,0.83,Dallas Cowboys,1,83,0.83,Tennessee Titans,0,82,0.18,Agree,Neither agree nor disagree,Male,53,College,I have entered this number in the MTurk interface,7869982,
12/9/22 20:35,12/9/22 20:40,IP Address,*******,100,299,4.983333333,TRUE,12/9/22 20:40,R_2zYfrA2JGFja1O9,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",Sequential,5aea9a59852ddf0001ced15e,1,3990.56,6.00,1.00,1.00,1.00,,0.132869697,0.329166667,0.75,0.9,1,0.15,0.830710477,0.891666667,0.85,0.9,1,0.85,0.715367792,0.511751078,0.498333333,1.530135724,3.07050647,1,3534.83,15,7.9,25,Baltimore Ravens,1,75,0.75,Cincinatti Bengals,1,90,0.9,Dallas Cowboys,1,100,1,Jacksonville Jaguars,1,85,0.85,3900,85,7,95,Baltimore Ravens,1,85,0.85,Cincinatti Bengals,1,90,0.9,Dallas Cowboys,1,100,1,Jacksonville Jaguars,1,85,0.85,Neither agree nor disagree,Agree,Male,42,Graduate school,,7597585,
12/9/22 20:17,12/9/22 20:28,IP Address,*******,100,696,11.6,TRUE,12/9/22 20:28,R_3szThA9GdcqPuYF,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",Sequential,61566a3f9dbfaa23c946b2fd,1,3990.56,6.00,1.00,1.00,1.00,,0.627551271,0.416,0.66,0.85,0.89,0.39,0.718822045,0.8,0.76,0.86,0.89,0.69,0.712697776,0.50793812,1,3.047628722,3.047628722,1,3852.74,65,6.4,39,Pittsburgh Steelers,0,66,0.34,Cincinatti Bengals,1,85,0.85,Dallas Cowboys,1,89,0.89,Tennessee Titans,0,61,0.39,3824.67,75,6.4,75,Pittsburgh Steelers,0,76,0.24,Cincinatti Bengals,1,86,0.86,Dallas Cowboys,1,89,0.89,Tennessee Titans,0,69,0.31,Agree,Neither agree nor disagree,Female,39,College,I have entered this number in the MTurk interface,4315593,
12/9/22 20:38,12/9/22 21:04,IP Address,*******,100,1576,26.26666667,TRUE,12/9/22 21:04,R_e3z528RCmuZso5X,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",Sequential,5f0e50c3a8d93519188a7525,2,3990.56,6.00,1.00,1.00,1.00,,0.932199992,0.966666667,0.57,0.55,0.72,0.41,0.997353755,1,0.57,0.57,1,0.76,0.753851701,0.568292387,1,3.409754324,3.409754324,2,4000,93,5.8,100,Baltimore Ravens,1,57,0.57,Cleveland Browns,0,55,0.45,Dallas Cowboys,1,72,0.72,Tennessee Titans,0,59,0.41,3980,100,6,100,Baltimore Ravens,1,57,0.57,Cincinatti Bengals,1,57,0.57,Dallas Cowboys,1,100,1,Tennessee Titans,0,76,0.24,Neither agree nor disagree,Agree,Male,37,Graduate school,I have entered this number in the MTurk interface,9282829,
12/9/22 19:47,12/9/22 19:51,IP Address,*******,100,256,4.266666667,TRUE,12/9/22 19:51,R_T76YWnRqGztgNu9,*******,*******,*******,*******,*******,*******,anonymous,EN,"I consent, begin the study",Sequential,60fb6a310990c17a35b68487,2,3990.56,6.00,1.00,1.00,1.00,,0.976334149,0.588,0.89,0.74,1,0,0.829896806,0.648,0.75,0.89,1,1,0.776019246,0.602205871,0.426666667,1.541647029,3.613235223,2,3896.12,100,5.6,63,Baltimore Ravens,1,89,0.89,Cincinatti Bengals,1,74,0.74,Dallas Cowboys,1,100,1,Tennessee Titans,0,100,0,3896.18,85,5.4,72,Baltimore Ravens,1,75,0.75,Cincinatti Bengals,1,89,0.89,Dallas Cowboys,1,100,1,Tennessee Titans,0,100,0,Agree,Neither agree nor disagree,Male,20,High school,I have entered this number in the MTurk interface,9006584,
